match,player1,player2,surface,elo1,elo2,prob_elo,prob_cotes,value,cote_pinnacle,tournament,date,strategie,mise_kelly,resultat,profit,capital,starts
Schoolkate T. vs Fonseca J.,Schoolkate T.,Fonseca J.,Hard,1500,1515,47.9,22.6,25.2,4.29,ATP Toronto - R1,2025-07-28,B_top_30pct,16.03,G,52.74,228.68,2025-07-28T14:00:00
Martin D. vs Munar J.,Martin D.,Munar J.,Hard,1500,1500,50.0,3.6,46.4,27.56,ATP Toronto - R1,2025-07-28,B_top_30pct,24.06,P,-24.06,175.94,2025-07-28T16:30:00
Muller A. vs Kecmanovic M.,Muller A.,Kecmanovic M.,Hard,1646,1466,73.8,36.5,37.3,2.66,ATP Toronto - R2,2025-07-29,B_top_30pct,33.17,G,,,2025-07-29T16:30:00
Arseneault N. vs Popyrin A.,Arseneault N.,Popyrin A.,Hard,1590,1375,77.5,9.3,68.2,10.51,ATP Toronto - R2,2025-07-29,B_top_30pct,37.57,P,,,2025-07-29T19:00:00
Munar J. vs Cerundolo F.,Munar J.,Cerundolo F.,Hard,1825,1466,88.7,53.5,35.2,1.8,ATP Toronto - R2,2025-07-29,B_top_30pct,42.63,,,,2025-07-29T20:45:00
Safiullin R. vs Ruud C.,Safiullin R.,Ruud C.,Hard,1948,1512,92.5,32.5,60.0,2.99,ATP Toronto - R2,2025-07-29,B_top_30pct,40.0,,,,2025-07-29T21:00:00
Opelka R. vs Machac T.,Opelka R.,Machac T.,Hard,1684,1449,79.4,41.1,38.2,2.36,ATP Toronto - R2,2025-07-29,B_top_30pct,36.73,,,,2025-07-29T22:30:00
Boyer T. vs Mensik J.,Boyer T.,Mensik J.,Hard,1740,1480,81.7,12.8,68.9,7.6,ATP Toronto - R2,2025-07-29,B_top_30pct,39.46,,,,2025-07-30T14:00:00
Carballes Baena R. vs Fritz T.,Carballes Baena R.,Fritz T.,Hard,1537,1481,57.9,8.4,49.5,11.63,ATP Toronto - R2,2025-07-29,B_top_30pct,26.97,,,,2025-07-30T14:00:00
Mannarino A. vs Shelton B.,Mannarino A.,Shelton B.,Hard,1605,1485,66.6,18.2,48.4,5.35,ATP Toronto - R2,2025-07-29,B_top_30pct,33.69,,,,2025-07-30T14:00:00
McDonald M. vs Lehecka J.,McDonald M.,Lehecka J.,Hard,1500,1456,56.3,28.7,27.6,3.38,ATP Toronto - R2,2025-07-29,B_top_30pct,21.69,,,,2025-07-30T14:00:00
